codMunicipio;regiao;estado;municipionome;municipiopopulacao;municipiocapital;qtdCrascomInternet;qtdCrassemInternet;qtdCreascomInternet;qtdCreassemInternet;qtd15a17anos;qtd18a24anos;qtdQualquerIdade;qtdSexoFemininoDe15a24Anos
5300108;CO;DF;BRASILIA;2562963;S;0;0;0;0;41497;115833;802930;80443
5200050;CO;GO;ABADIA DE GOIAS;6868;N;0;0;0;0;0;0;3364;330
5200100;CO;GO;ABADIANIA;15752;N;0;0;0;0;0;0;6188;583
5200134;CO;GO;ACREUNA;20283;N;0;0;0;0;0;0;10165;1030
5200159;CO;GO;ADELANDIA;2483;N;0;0;0;0;0;0;1569;148
5200175;CO;GO;AGUA FRIA DE GOIAS;5095;N;0;0;0;0;0;0;3672;304
5200209;CO;GO;AGUA LIMPA;2012;N;0;0;0;0;0;0;944;102
5200258;CO;GO;AGUAS LINDAS DE GOIAS;159505;N;0;0;0;0;0;0;62783;6467
5200308;CO;GO;ALEXANIA;23828;N;0;0;0;0;0;0;13773;1307
5200506;CO;GO;ALOANDIA;2044;N;0;0;0;0;0;0;943;90
5200555;CO;GO;ALTO HORIZONTE;4505;N;0;0;0;0;0;0;1894;186
5200605;CO;GO;ALTO PARAISO DE GOIAS;6864;N;0;0;0;0;0;0;5106;510
5200803;CO;GO;ALVORADA DO NORTE;8093;N;0;0;0;0;0;0;4945;471
5200829;CO;GO;AMARALINA;3424;N;0;0;0;0;0;0;2117;207
5200852;CO;GO;AMERICANO DO BRASIL;5508;N;0;0;0;0;0;0;3089;305
5200902;CO;GO;AMORINOPOLIS;3607;N;0;0;0;0;0;0;2130;227
5201108;CO;GO;ANAPOLIS;335032;N;0;0;0;0;0;0;104029;9845
5201207;CO;GO;ANHANGUERA;1017;N;0;0;0;0;0;0;683;59
5201306;CO;GO;ANICUNS;20272;N;0;0;0;0;0;0;10099;1036
5201405;CO;GO;APARECIDA DE GOIANIA;455735;N;0;0;0;0;0;0;138419;13301
5201454;CO;GO;APARECIDA DO RIO DOCE;2433;N;0;0;0;0;0;0;1417;129
5201504;CO;GO;APORE;3811;N;0;0;0;0;0;0;1712;164
5201603;CO;GO;ARACU;3785;N;0;0;0;0;0;0;2356;253
5201702;CO;GO;ARAGARCAS;18310;N;0;0;0;0;0;0;8885;913
5201801;CO;GO;ARAGOIANIA;8375;N;0;0;0;0;0;0;4587;429
5202155;CO;GO;ARAGUAPAZ;7513;N;0;0;0;0;0;0;3843;326
5202353;CO;GO;ARENOPOLIS;3278;N;0;0;0;0;0;0;2094;217
5202502;CO;GO;ARUANA;7506;N;0;0;0;0;0;0;3628;328
5202601;CO;GO;AURILANDIA;3650;N;0;0;0;0;0;0;1812;181
5202809;CO;GO;AVELINOPOLIS;2451;N;0;0;0;0;0;0;1622;191
5203104;CO;GO;BALIZA;3714;N;0;0;0;0;0;0;2198;220
5203203;CO;GO;BARRO ALTO;8701;N;0;0;0;0;0;0;3996;404
5203302;CO;GO;BELA VISTA DE GOIAS;24539;N;0;0;0;0;0;0;8151;760
5203401;CO;GO;BOM JARDIM DE GOIAS;8423;N;0;0;0;0;0;0;4776;451
5203500;CO;GO;BOM JESUS DE GOIAS;20729;N;0;0;0;0;0;0;8545;935
5203559;CO;GO;BONFINOPOLIS;7536;N;0;0;0;0;0;0;3746;385
5203575;CO;GO;BONOPOLIS;3503;N;0;0;0;0;0;0;2492;240
5203609;CO;GO;BRAZABRANTES;3240;N;0;0;0;0;0;0;1363;146
5203807;CO;GO;BRITANIA;5509;N;0;0;0;0;0;0;2661;200
5203906;CO;GO;BURITI ALEGRE;9056;N;0;0;0;0;0;0;3154;254
5203939;CO;GO;BURITI DE GOIAS;2561;N;0;0;0;0;0;0;1537;126
5203962;CO;GO;BURITINOPOLIS;3319;N;0;0;0;0;0;0;2162;249
5204003;CO;GO;CABECEIRAS;7346;N;0;0;0;0;0;0;5083;461
5204102;CO;GO;CACHOEIRA ALTA;10539;N;0;0;0;0;0;0;3900;410
5204201;CO;GO;CACHOEIRA DE GOIAS;1417;N;0;0;0;0;0;0;914;78
5204250;CO;GO;CACHOEIRA DOURADA;8267;N;0;0;0;0;0;0;3979;391
5204300;CO;GO;CACU;13279;N;0;0;0;0;0;0;4829;368
5204409;CO;GO;CAIAPONIA;16734;N;0;0;0;0;0;0;6896;705
5204508;CO;GO;CALDAS NOVAS;70463;N;0;0;0;0;0;0;24785;2398
5204557;CO;GO;CALDAZINHA;3322;N;0;0;0;0;0;0;2005;198
5204607;CO;GO;CAMPESTRE DE GOIAS;3387;N;0;0;0;0;0;0;2088;225
5204656;CO;GO;CAMPINACU;3654;N;0;0;0;0;0;0;2267;212
5204706;CO;GO;CAMPINORTE;11115;N;0;0;0;0;0;0;5300;469
5204805;CO;GO;CAMPO ALEGRE DE GOIAS;6057;N;0;0;0;0;0;0;2482;226
5204854;CO;GO;CAMPO LIMPO DE GOIAS;6270;N;0;0;0;0;0;0;3740;385
5204904;CO;GO;CAMPOS BELOS;18395;N;0;0;0;0;0;0;13599;1247
5204953;CO;GO;CAMPOS VERDES;5022;N;0;0;0;0;0;0;3769;380
5205000;CO;GO;CARMO DO RIO VERDE;8939;N;0;0;0;0;0;0;5280;449
5205059;CO;GO;CASTELANDIA;3638;N;0;0;0;0;0;0;2470;240
5205109;CO;GO;CATALAO;86597;N;0;0;0;0;0;0;29817;2715
5205208;CO;GO;CATURAI;4670;N;0;0;0;0;0;0;2837;280
5205307;CO;GO;CAVALCANTE;9394;N;0;0;0;0;0;0;7241;673
5205406;CO;GO;CERES;20686;N;0;0;0;0;0;0;8641;908
5205455;CO;GO;CEZARINA;7548;N;0;0;0;0;0;0;4034;332
5205471;CO;GO;CHAPADAO DO CEU;7004;N;0;0;0;0;0;0;2458;272
5205497;CO;GO;CIDADE OCIDENTAL;55883;N;0;0;0;0;0;0;23199;2073
5205513;CO;GO;COCALZINHO DE GOIAS;17391;N;0;0;0;0;0;0;10555;905
5205521;CO;GO;COLINAS DO SUL;3523;N;0;0;0;0;0;0;2281;299
5205703;CO;GO;CORREGO DO OURO;2629;N;0;0;0;0;0;0;1706;146
5205802;CO;GO;CORUMBA DE GOIAS;10344;N;0;0;0;0;0;0;5637;491
5205901;CO;GO;CORUMBAIBA;8164;N;0;0;0;0;0;0;4132;440
5206206;CO;GO;CRISTALINA;46568;N;0;0;0;0;0;0;21371;2071
5206305;CO;GO;CRISTIANOPOLIS;2933;N;0;0;0;0;0;0;1603;134
5206404;CO;GO;CRIXAS;15762;N;0;0;0;0;0;0;6700;696
5206503;CO;GO;CROMINIA;3555;N;0;0;0;0;0;0;2209;217
5206602;CO;GO;CUMARI;2961;N;0;0;0;0;0;0;1140;146
